,,,Stats,,,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FGA,FT%,FTA,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
159,Isaiah Stewart,DET,28,859,290,196,48,8,17,39,47.2,229,74.5,47,-0.50,-0.96,0.57,-0.88,-1.90,-0.13,-0.26,-0.13,-0.35
160,Isaiah Joe,OKC,29,587,276,68,32,21,11,67,44.0,207,84.4,32,-0.50,-1.04,-1.22,-1.15,-0.52,-0.50,0.77,-0.48,0.09
161,Cam Thomas,BKN,22,666,502,61,50,13,9,47,45.3,413,85.3,95,-0.51,0.30,-1.31,-0.85,-1.37,-0.62,0.04,-0.76,0.48
162,Bennedict Mathurin,IND,29,723,388,108,59,18,5,37,43.9,314,85.2,88,-0.51,-0.38,-0.66,-0.70,-0.84,-0.87,-0.33,-0.78,0.44
163,Malcolm Brogdon,POR,22,614,338,80,125,18,4,45,43.2,287,77.6,58,-0.52,-0.67,-1.05,0.40,-0.84,-0.93,-0.04,-0.83,-0.22
164,Zach LaVine,CHI,18,635,378,88,61,17,4,43,44.3,298,86.6,82,-0.52,-0.44,-0.94,-0.67,-0.94,-0.93,-0.11,-0.68,0.52
165,Robert Covington,LAC/PHI,27,467,120,92,24,36,18,19,43.5,92,84.0,25,-0.53,-1.97,-0.88,-1.28,1.07,-0.07,-0.99,-0.17,0.05
166,Mitchell Robinson,NYK,21,613,130,216,15,32,27,0,59.2,98,36.8,38,-0.53,-1.91,0.85,-1.43,0.65,0.48,-1.69,0.67,-1.86
167,Jalen Johnson,ATL,16,478,222,118,40,18,15,17,59.6,151,75.8,33,-0.53,-1.36,-0.52,-1.01,-0.84,-0.25,-1.07,1.00,-0.21
168,Jaden Ivey,DET,26,653,323,83,80,22,15,25,45.2,250,77.4,93,-0.54,-0.76,-1.01,-0.35,-0.41,-0.25,-0.77,-0.43,-0.33
169,Caris LeVert,CLE,23,673,362,81,89,24,9,44,41.8,311,74.4,78,-0.55,-0.53,-1.03,-0.20,-0.20,-0.62,-0.07,-1.15,-0.55
170,Brandon Miller,CHA,25,785,365,100,56,16,13,47,43.6,321,79.2,48,-0.55,-0.51,-0.77,-0.75,-1.05,-0.38,0.04,-0.86,-0.11
171,Brandin Podziemski,GSW,24,546,213,130,72,24,5,30,46.3,177,70.4,27,-0.55,-1.42,-0.35,-0.48,-0.20,-0.87,-0.59,-0.16,-0.34
172,Sam Hauser,BOS,29,654,249,99,30,15,8,69,44.8,192,80.0,10,-0.57,-1.20,-0.78,-1.18,-1.15,-0.68,0.85,-0.34,-0.06
173,Ochai Agbaji,UTA,31,666,222,82,32,21,16,40,47.0,183,83.3,12,-0.57,-1.36,-1.02,-1.15,-0.52,-0.19,-0.22,-0.10,-0.01
174,Kyle Anderson,MIN,29,673,201,100,114,22,23,2,46.2,169,71.7,60,-0.58,-1.49,-0.77,0.21,-0.41,0.23,-1.62,-0.16,-0.61
175,RJ Barrett,NYK,25,730,455,105,61,11,9,42,42.3,371,83.2,119,-0.58,0.02,-0.70,-0.67,-1.58,-0.62,-0.15,-1.28,0.34
176,Nickeil Alexander-Walker,MIN,29,666,198,54,71,25,18,41,42.0,174,64.7,17,-0.59,-1.51,-1.41,-0.50,-0.10,-0.07,-0.18,-0.58,-0.34
177,Dante Exum,DAL,27,516,246,84,72,17,5,24,57.5,167,75.0,40,-0.59,-1.22,-0.99,-0.48,-0.94,-0.87,-0.81,0.90,-0.28
178,Day'Ron Sharpe,BKN,31,503,224,218,43,14,28,1,56.6,159,59.7,72,-0.59,-1.35,0.88,-0.96,-1.26,0.54,-1.65,0.78,-1.67
179,Killian Hayes,DET,25,660,228,77,110,26,15,18,42.5,214,70.0,40,-0.59,-1.33,-1.09,0.15,0.01,-0.25,-1.03,-0.67,-0.50
180,Nick Richards,CHA,22,493,193,156,16,8,28,0,69.9,103,80.3,61,-0.59,-1.54,0.01,-1.41,-1.90,0.54,-1.69,1.31,-0.04
181,Jordan Clarkson,UTA,21,643,370,73,108,17,3,37,40.7,327,85.9,78,-0.59,-0.48,-1.15,0.11,-0.94,-0.99,-0.33,-1.42,0.44
182,Cam Reddish,LAL,26,642,183,69,39,36,7,22,39.8,161,86.8,38,-0.61,-1.60,-1.20,-1.03,1.07,-0.74,-0.88,-0.72,0.23
183,Ayo Dosunmu,CHI,30,645,228,69,55,25,7,30,48.1,181,75.0,32,-0.62,-1.33,-1.20,-0.77,-0.10,-0.74,-0.59,0.01,-0.24
184,Toumani Camara,POR,29,718,203,132,28,28,15,24,42.0,181,69.2,39,-0.62,-1.48,-0.32,-1.21,0.22,-0.25,-0.81,-0.60,-0.52
185,Simone Fontecchio,UTA,29,612,251,81,32,14,12,54,44.9,196,84.0,25,-0.63,-1.19,-1.03,-1.15,-1.26,-0.44,0.30,-0.34,0.05
186,Drew Eubanks,PHX,28,476,173,123,31,10,29,2,59.3,118,83.8,37,-0.64,-1.65,-0.45,-1.16,-1.68,0.60,-1.62,0.79,0.09
187,Paul Reed,PHI,30,433,158,134,34,16,21,5,57.6,118,73.9,23,-0.64,-1.74,-0.29,-1.11,-1.05,0.11,-1.51,0.68,-0.21
188,Tari Eason,HOU,20,429,188,138,24,25,17,17,46.6,161,63.6,33,-0.64,-1.57,-0.24,-1.28,-0.10,-0.13,-1.07,-0.11,-0.65
189,Tre Jones,SAS,25,581,199,62,124,21,4,14,46.2,171,81.8,33,-0.65,-1.50,-1.30,0.38,-0.52,-0.93,-1.18,-0.16,0.01
190,Cason Wallace,OKC,29,634,195,61,43,18,12,29,54.2,142,80.0,15,-0.65,-1.52,-1.31,-0.96,-0.84,-0.44,-0.62,0.52,-0.06
191,Jabari Walker,POR,29,521,220,148,21,20,12,15,48.0,171,75.9,54,-0.66,-1.38,-0.10,-1.33,-0.63,-0.44,-1.14,0.01,-0.31
192,Moses Moody,GSW,30,544,244,96,27,21,8,30,47.6,185,76.0,50,-0.67,-1.23,-0.82,-1.23,-0.52,-0.68,-0.59,-0.04,-0.28
193,Grant Williams,DAL,28,812,251,108,47,12,17,55,41.6,209,64.7,34,-0.68,-1.19,-0.66,-0.90,-1.47,-0.13,0.33,-0.75,-0.63
194,Santi Aldama,MEM,23,562,257,127,44,15,17,38,43.8,224,62.2,37,-0.68,-1.16,-0.39,-0.95,-1.15,-0.13,-0.29,-0.55,-0.79
195,Jalen Duren,DET,15,437,188,168,39,9,20,0,62.3,138,57.1,28,-0.68,-1.57,0.18,-1.03,-1.79,0.05,-1.69,1.14,-0.76
196,Marcus Sasser,DET,29,470,213,48,68,18,5,34,47.6,170,89.5,19,-0.69,-1.42,-1.49,-0.55,-0.84,-0.87,-0.44,-0.02,0.14
197,Kevin Love,MIA,23,430,215,155,59,9,2,43,42.7,157,80.9,47,-0.69,-1.41,0.00,-0.70,-1.79,-1.05,-0.11,-0.44,-0.02
198,Corey Kispert,WAS,29,662,331,67,43,11,5,60,46.6,247,73.2,56,-0.69,-0.72,-1.23,-0.96,-1.58,-0.87,0.52,-0.23,-0.48
199,Tyler Herro,MIA,12,413,288,64,53,15,1,41,45.9,233,86.8,38,-0.69,-0.97,-1.27,-0.80,-1.15,-1.11,-0.18,-0.29,0.23
200,Josh Richardson,MIA,24,666,241,65,71,14,6,35,43.7,199,91.4,35,-0.70,-1.25,-1.26,-0.50,-1.26,-0.80,-0.40,-0.48,0.38
201,Christian Braun,DEN,32,632,268,118,55,12,11,24,47.0,215,75.0,56,-0.71,-1.09,-0.52,-0.77,-1.47,-0.50,-0.81,-0.14,-0.37
202,Dean Wade,CLE,24,536,140,116,21,21,8,37,41.4,111,78.6,14,-0.71,-1.85,-0.55,-1.33,-0.52,-0.68,-0.33,-0.36,-0.08
203,Isaiah Jackson,IND,21,304,154,96,19,12,31,0,66.7,93,73.2,41,-0.72,-1.77,-0.82,-1.36,-1.47,0.72,-1.69,1.03,-0.37
204,Torrey Craig,CHI,27,572,165,130,28,17,10,29,42.4,139,78.3,23,-0.74,-1.70,-0.35,-1.21,-0.94,-0.56,-0.62,-0.40,-0.10
205,Kelly Oubre,PHI,19,501,250,81,14,23,7,33,47.2,197,68.9,45,-0.74,-1.20,-1.03,-1.45,-0.31,-0.74,-0.48,-0.09,-0.61
206,Jordan Goodwin,PHX,29,520,174,114,73,19,8,23,36.8,174,85.2,27,-0.74,-1.65,-0.57,-0.47,-0.73,-0.68,-0.84,-1.08,0.10
207,Anfernee Simons,POR,11,376,298,34,58,10,1,42,45.6,228,92.3,52,-0.74,-0.91,-1.69,-0.72,-1.68,-1.11,-0.15,-0.32,0.64
208,Payton Pritchard,BOS,29,588,211,91,82,11,3,48,41.9,179,72.2,18,-0.74,-1.43,-0.89,-0.32,-1.58,-0.99,0.07,-0.60,-0.21
209,Jonathan Kuminga,GSW,29,628,362,111,35,18,8,21,50.4,266,67.0,109,-0.75,-0.53,-0.61,-1.10,-0.84,-0.68,-0.92,0.31,-1.63
210,Peyton Watson,DEN,30,509,176,74,30,17,26,13,52.2,134,62.2,37,-0.76,-1.64,-1.13,-1.18,-0.94,0.42,-1.21,0.35,-0.79
211,Cameron Payne,MIL,31,505,201,38,78,12,2,37,46.8,154,90.9,22,-0.78,-1.49,-1.63,-0.38,-1.47,-1.05,-0.33,-0.08,0.21
212,T.J. McConnell,IND,22,328,162,58,104,20,3,1,52.2,138,70.8,24,-0.78,-1.72,-1.35,0.05,-0.63,-0.99,-1.65,0.36,-0.30
213,Marvin Bagley,DET,24,457,252,114,24,3,14,1,59.0,173,82.5,57,-0.78,-1.19,-0.57,-1.28,-2.43,-0.32,-1.65,1.07,0.09
214,Jonathan Isaac,ORL,21,285,134,86,7,18,26,13,45.3,106,78.1,32,-0.78,-1.89,-0.96,-1.56,-0.84,0.42,-1.21,-0.11,-0.13
215,Rui Hachimura,LAL,22,534,264,85,25,16,5,28,48.6,210,72.7,44,-0.79,-1.11,-0.98,-1.26,-1.05,-0.87,-0.66,0.06,-0.41
216,Marcus Smart,MEM,12,359,150,28,58,27,5,20,42.6,129,83.3,24,-0.79,-1.79,-1.77,-0.72,0.12,-0.87,-0.95,-0.35,0.03
217,Keyonte George,UTA,25,642,272,72,124,13,3,41,36.1,241,77.0,74,-0.79,-1.07,-1.16,0.38,-1.37,-0.99,-0.18,-1.63,-0.31
218,Gary Harris,ORL,24,542,174,41,45,22,5,32,43.4,136,80.0,30,-0.79,-1.65,-1.59,-0.93,-0.41,-0.87,-0.51,-0.32,-0.06
219,Joe Ingles,ORL,24,437,117,66,82,18,3,24,40.4,94,89.5,19,-0.80,-1.99,-1.24,-0.32,-0.84,-0.99,-0.81,-0.34,0.14
220,Naji Marshall,NOP,22,428,180,89,52,16,5,25,44.4,133,78.7,47,-0.80,-1.61,-0.92,-0.82,-1.05,-0.87,-0.77,-0.23,-0.13
221,Georges Niang,CLE,31,689,256,110,37,10,4,50,40.2,239,82.4,17,-0.80,-1.16,-0.63,-1.06,-1.68,-0.93,0.15,-1.07,-0.01
222,Malaki Branham,SAS,29,648,258,58,73,11,4,29,44.4,241,93.8,16,-0.80,-1.15,-1.35,-0.47,-1.58,-0.93,-0.62,-0.51,0.19
223,Jordan Hawkins,NOP,27,644,289,85,41,10,0,59,38.2,249,87.0,46,-0.80,-0.97,-0.98,-1.00,-1.68,-1.17,0.48,-1.40,0.29
224,David Roddy,MEM,27,635,218,114,34,17,9,28,40.7,209,71.4,28,-0.81,-1.39,-0.57,-1.11,-0.94,-0.62,-0.66,-0.86,-0.32
225,Draymond Green,GSW,15,377,145,83,87,6,11,18,49.0,104,83.3,30,-0.82,-1.82,-1.01,-0.23,-2.11,-0.50,-1.03,0.11,0.05
226,Isaac Okoro,CLE,22,572,186,77,45,18,9,22,48.9,137,66.7,45,-0.82,-1.58,-1.09,-0.93,-0.84,-0.62,-0.88,0.10,-0.72
227,Lonnie Walker,BKN,17,362,249,45,28,10,7,44,48.9,180,76.3,38,-0.82,-1.20,-1.54,-1.21,-1.68,-0.74,-0.07,0.10,-0.21
228,Gary Trent,TOR,27,686,305,60,44,18,2,58,40.4,277,62.2,37,-0.82,-0.87,-1.33,-0.95,-0.84,-1.05,0.44,-1.22,-0.79
229,Jae'Sean Tate,HOU,27,476,132,94,28,21,6,15,48.2,110,68.8,16,-0.83,-1.90,-0.85,-1.21,-0.52,-0.80,-1.14,0.06,-0.25
230,Malachi Flynn,TOR,30,468,157,65,73,16,6,28,40.9,137,77.3,22,-0.83,-1.75,-1.26,-0.47,-1.05,-0.80,-0.66,-0.51,-0.12
231,Jaden McDaniels,MIN,19,500,206,45,22,14,10,21,54.4,160,73.3,15,-0.83,-1.46,-1.54,-1.31,-1.26,-0.56,-0.92,0.59,-0.17
232,Aaron Holiday,HOU,27,500,201,52,44,13,3,38,45.1,162,89.5,19,-0.83,-1.49,-1.44,-0.95,-1.37,-0.99,-0.29,-0.25,0.14
233,Nicolas Batum,LAC/PHI,20,478,113,73,43,12,13,26,54.1,74,63.6,11,-0.83,-2.01,-1.15,-0.96,-1.47,-0.38,-0.73,0.32,-0.25
234,Ziaire Williams,MEM,27,534,211,102,40,12,8,30,39.8,186,84.6,39,-0.83,-1.43,-0.74,-1.01,-1.47,-0.68,-0.59,-0.85,0.14
235,Caleb Martin,MIA,20,529,220,101,45,16,5,25,44.3,192,67.6,37,-0.84,-1.38,-0.75,-0.93,-1.05,-0.87,-0.77,-0.40,-0.57
236,Precious Achiuwa,TOR,24,435,193,134,44,16,12,13,46.2,169,57.1,42,-0.84,-1.54,-0.29,-0.95,-1.05,-0.44,-1.21,-0.16,-1.12
237,John Konchar,MEM,23,408,79,96,32,17,17,17,37.3,75,75.0,8,-0.85,-2.21,-0.82,-1.15,-0.94,-0.13,-1.07,-0.37,-0.10
238,Anthony Black,ORL,28,573,158,75,49,16,12,16,50.8,118,62.9,35,-0.85,-1.74,-1.12,-0.87,-1.05,-0.44,-1.10,0.23,-0.72
239,Vince Williams,MEM,21,432,116,101,31,12,14,24,40.7,86,81.5,27,-0.85,-1.99,-0.75,-1.16,-1.47,-0.32,-0.81,-0.29,-0.01
240,Josh Okogie,PHX,25,513,151,81,29,23,12,14,39.1,115,75.8,62,-0.85,-1.79,-1.03,-1.20,-0.31,-0.44,-1.18,-0.52,-0.35
241,Patrick Beverley,PHI,29,495,143,82,64,15,8,18,43.2,118,71.9,32,-0.87,-1.83,-1.02,-0.62,-1.15,-0.68,-1.03,-0.27,-0.35
242,Jalen Smith,IND,17,262,173,91,14,6,6,20,69.5,95,72.4,29,-0.87,-1.65,-0.89,-1.45,-2.11,-0.80,-0.95,1.20,-0.30
243,Haywood Highsmith,MIA,19,400,119,54,29,20,12,21,42.2,102,75.0,16,-0.87,-1.98,-1.41,-1.20,-0.63,-0.44,-0.92,-0.28,-0.14
244,Cedi Osman,SAS,29,535,229,66,53,10,5,36,45.9,185,67.6,34,-0.88,-1.32,-1.24,-0.80,-1.68,-0.87,-0.37,-0.21,-0.52
245,Dwight Powell,DAL,28,397,125,86,34,10,10,1,74.1,54,81.5,54,-0.88,-1.94,-0.96,-1.11,-1.68,-0.56,-1.65,0.87,0.02
246,Bismack Biyombo,MEM,23,563,139,152,42,8,26,0,57.8,102,47.7,44,-0.88,-1.86,-0.04,-0.98,-1.90,0.42,-1.69,0.62,-1.62
247,Andrew Nembhard,IND,20,394,153,33,82,17,1,13,50.0,134,66.7,9,-0.88,-1.77,-1.70,-0.32,-0.94,-1.11,-1.21,0.19,-0.19
248,Duop Reath,POR,20,305,172,62,20,12,7,28,44.1,136,92.3,26,-0.89,-1.66,-1.30,-1.35,-1.47,-0.74,-0.66,-0.26,0.29
249,Trendon Watford,BKN,22,310,145,74,42,11,7,6,53.6,110,87.5,24,-0.90,-1.82,-1.13,-0.98,-1.58,-0.74,-1.47,0.40,0.14
250,Pat Connaughton,MIL,25,549,140,96,48,12,4,27,41.5,123,73.3,15,-0.90,-1.85,-0.82,-0.88,-1.47,-0.93,-0.70,-0.41,-0.17
251,Craig Porter,CLE,20,347,151,57,72,15,11,6,49.2,124,65.7,35,-0.91,-1.79,-1.37,-0.48,-1.15,-0.50,-1.47,0.12,-0.61
252,Chris Boucher,TOR,27,379,175,101,9,9,16,19,46.1,128,76.0,50,-0.91,-1.64,-0.75,-1.53,-1.79,-0.19,-0.99,-0.10,-0.28
253,Kris Dunn,UTA,23,366,121,66,84,13,4,12,45.8,107,68.8,16,-0.92,-1.96,-1.24,-0.28,-1.37,-0.93,-1.25,-0.08,-0.25
254,Terance Mann,LAC,24,627,150,80,47,17,9,15,38.8,152,70.8,24,-0.94,-1.79,-1.05,-0.90,-0.94,-0.62,-1.14,-0.75,-0.30
255,Andrew Wiggins,GSW,26,693,330,117,30,8,10,26,42.8,292,69.2,78,-0.94,-0.72,-0.53,-1.18,-1.90,-0.56,-0.73,-0.91,-0.99
256,Quentin Grimes,NYK,28,581,174,39,31,18,1,46,38.9,162,33.3,6,-0.94,-1.65,-1.62,-1.16,-0.84,-1.11,0.00,-0.81,-0.36
257,Jevon Carter,CHI,32,463,174,23,39,15,9,40,37.7,175,66.7,3,-0.95,-1.65,-1.84,-1.03,-1.15,-0.62,-0.22,-0.99,-0.10
258,Trey Murphy,NOP,11,301,171,47,18,9,4,31,48.7,115,84.8,33,-0.95,-1.67,-1.51,-1.38,-1.79,-0.93,-0.55,0.09,0.12
259,Xavier Tillman,MEM,17,353,105,82,25,22,18,9,39.8,113,33.3,18,-0.95,-2.06,-1.02,-1.26,-0.41,-0.07,-1.36,-0.47,-0.98
260,Jeff Green,HOU,28,424,180,58,20,4,13,9,55.9,102,83.8,68,-0.96,-1.61,-1.35,-1.35,-2.32,-0.38,-1.36,0.50,0.22
261,Josh Green,DAL,19,476,126,55,48,19,3,23,41.6,113,52.9,17,-0.96,-1.93,-1.40,-0.88,-0.73,-0.99,-0.84,-0.36,-0.56
262,Sasha Vezenkov,SAC,26,345,139,69,13,13,6,29,42.6,122,75.0,8,-0.97,-1.86,-1.20,-1.46,-1.37,-0.80,-0.62,-0.32,-0.10
263,Julian Champagnie,SAS,22,301,130,39,18,10,14,32,43.1,102,76.9,13,-0.97,-1.91,-1.62,-1.38,-1.68,-0.32,-0.51,-0.22,-0.10
264,Daniel Theis,IND/LAC,20,334,144,71,16,8,16,10,50.9,112,74.1,27,-0.98,-1.83,-1.17,-1.41,-1.90,-0.19,-1.32,0.23,-0.23
265,Charles Bassey,SAS,19,205,63,76,21,8,17,0,72.5,40,83.3,6,-0.98,-2.31,-1.10,-1.33,-1.90,-0.13,-1.69,0.64,-0.03
266,Christian Wood,LAL,26,490,177,143,23,5,15,17,46.3,136,61.8,55,-0.99,-1.63,-0.17,-1.30,-2.21,-0.25,-1.07,-0.09,-1.16
267,Bojan Bogdanovic,DET,11,364,219,30,27,11,1,32,46.6,161,75.5,49,-1.00,-1.38,-1.75,-1.23,-1.58,-1.11,-0.51,-0.11,-0.30
268,Scoot Henderson,POR,20,524,222,52,89,11,4,19,36.9,222,79.6,49,-1.00,-1.36,-1.44,-0.20,-1.58,-0.93,-0.99,-1.39,-0.08
269,Danilo Gallinari,WAS,26,385,181,76,31,6,3,20,43.5,131,83.9,56,-1.00,-1.61,-1.10,-1.16,-2.11,-0.99,-0.95,-0.29,0.18
270,Dennis Smith,BKN,17,318,120,52,64,14,3,9,40.7,118,83.3,18,-1.01,-1.97,-1.44,-0.62,-1.26,-0.99,-1.36,-0.44,0.01
271,Nassir Little,PHX,23,359,120,60,16,10,8,16,48.4,91,84.2,19,-1.01,-1.97,-1.33,-1.41,-1.68,-0.68,-1.10,0.08,0.03
272,Aaron Wiggins,OKC,27,329,132,59,21,11,2,14,58.1,86,72.0,25,-1.01,-1.90,-1.34,-1.33,-1.58,-1.05,-1.18,0.55,-0.28
273,Julian Strawther,DEN,29,400,171,43,32,14,5,34,38.3,162,68.4,19,-1.01,-1.67,-1.56,-1.15,-1.26,-0.87,-0.44,-0.86,-0.30
274,Doug McDermott,SAS,27,423,153,29,40,9,2,41,42.6,122,66.7,12,-1.02,-1.77,-1.76,-1.01,-1.79,-1.05,-0.18,-0.32,-0.23
275,Alec Burks,DET,23,409,210,51,31,9,5,35,32.8,180,87.7,65,-1.02,-1.43,-1.45,-1.16,-1.79,-0.87,-0.40,-1.52,0.48
276,Jose Alvarado,NOP,17,275,113,43,34,17,6,20,41.7,96,59.1,22,-1.03,-2.01,-1.56,-1.11,-0.94,-0.80,-0.95,-0.28,-0.56
277,Marcus Morris,PHI,22,324,130,56,17,7,7,21,48.1,104,90.0,10,-1.03,-1.91,-1.38,-1.40,-2.00,-0.74,-0.92,0.06,0.05
278,Seth Curry,DAL,23,303,113,38,20,15,3,24,38.6,101,91.7,12,-1.04,-2.01,-1.63,-1.35,-1.15,-0.99,-0.81,-0.47,0.10
279,Keon Ellis,SAC,22,300,90,32,33,13,11,21,40.8,71,64.7,17,-1.04,-2.15,-1.72,-1.13,-1.37,-0.50,-0.92,-0.21,-0.34
280,Luke Kornet,BOS,17,220,74,56,10,8,13,0,74.4,43,83.3,12,-1.05,-2.24,-1.38,-1.51,-1.90,-0.38,-1.69,0.73,-0.01
281,Keita Bates-Diop,PHX,22,387,115,68,19,12,15,10,39.8,103,71.9,32,-1.05,-2.00,-1.22,-1.36,-1.47,-0.25,-1.32,-0.42,-0.35
282,JaVale McGee,SAC,26,224,123,76,12,6,16,0,66.7,81,55.6,27,-1.05,-1.95,-1.10,-1.48,-2.11,-0.19,-1.69,0.91,-0.78
283,Troy Brown,MIN,25,346,130,60,26,6,2,25,45.3,95,86.4,22,-1.05,-1.91,-1.33,-1.25,-2.11,-1.05,-0.77,-0.09,0.10
284,MarJon Beauchamp,MIL,27,413,132,67,20,9,4,20,50.0,100,60.0,20,-1.06,-1.90,-1.23,-1.35,-1.79,-0.93,-0.95,0.17,-0.50
285,Shake Milton,MIN,27,401,144,42,40,14,3,12,37.8,127,83.7,43,-1.06,-1.83,-1.58,-1.01,-1.26,-0.99,-1.25,-0.68,0.11
286,James Wiseman,DET,19,270,123,78,13,4,11,0,69.2,78,62.5,24,-1.07,-1.95,-1.08,-1.46,-2.32,-0.50,-1.69,0.99,-0.52
287,Gary Payton,GSW,14,242,83,44,13,17,4,9,47.9,71,66.7,9,-1.07,-2.19,-1.55,-1.46,-0.94,-0.93,-1.36,0.07,-0.19
288,Kenrich Williams,OKC,19,297,98,50,33,11,3,19,52.8,72,30.0,10,-1.07,-2.10,-1.47,-1.13,-1.58,-0.99,-0.99,0.27,-0.60
289,Jacob Gilyard,MEM,19,299,70,20,58,11,1,21,41.4,58,100.0,1,-1.08,-2.27,-1.89,-0.72,-1.58,-1.11,-0.92,-0.13,-0.03
290,Skylar Mays,POR,17,297,110,25,69,12,2,12,39.8,108,80.0,15,-1.08,-2.03,-1.82,-0.53,-1.47,-1.05,-1.25,-0.44,-0.06
291,Jaylin Williams,OKC,24,285,90,76,30,7,3,17,39.0,77,92.9,14,-1.08,-2.15,-1.10,-1.18,-2.00,-0.99,-1.07,-0.32,0.14
292,Chimezie Metu,PHX,20,245,106,57,9,9,5,10,50.6,77,81.8,22,-1.09,-2.05,-1.37,-1.53,-1.79,-0.87,-1.32,0.18,-0.01
293,Derrick Rose,MEM,15,284,136,30,52,7,2,11,43.8,121,90.5,21,-1.10,-1.87,-1.75,-0.82,-2.00,-1.05,-1.29,-0.24,0.18
294,Matt Ryan,NOP,13,298,121,30,14,5,1,32,45.8,83,92.9,14,-1.11,-1.96,-1.75,-1.45,-2.21,-1.11,-0.51,-0.04,0.14
295,Justin Holiday,DEN,17,260,76,25,20,11,1,18,52.7,55,0.0,0,-1.12,-2.23,-1.82,-1.35,-1.58,-1.11,-1.03,0.23,-0.05
296,Chris Duarte,SAC,26,313,93,46,19,15,2,15,36.8,87,77.8,18,-1.12,-2.13,-1.52,-1.36,-1.15,-1.05,-1.14,-0.48,-0.10
297,Ish Smith,CHA,22,365,80,32,67,7,2,2,51.4,74,100.0,2,-1.12,-2.21,-1.72,-0.57,-2.00,-1.05,-1.62,0.21,-0.01
298,Trayce Jackson-Davis,GSW,20,218,98,70,17,6,13,0,65.0,60,60.6,33,-1.12,-2.10,-1.19,-1.40,-2.11,-0.38,-1.69,0.65,-0.76
299,Omer Yurtseven,UTA,19,229,79,87,13,4,10,3,50.7,69,75.0,8,-1.13,-2.21,-0.95,-1.46,-2.32,-0.56,-1.58,0.18,-0.10
300,Thomas Bryant,MIA,18,223,97,69,11,6,5,0,55.6,72,85.0,20,-1.13,-2.11,-1.20,-1.50,-2.11,-0.87,-1.69,0.38,0.05
301,Bryce McGowens,CHA,23,407,121,45,19,8,3,17,45.1,91,75.9,29,-1.14,-1.96,-1.54,-1.36,-1.90,-0.99,-1.07,-0.09,-0.19
302,Delon Wright,WAS,9,155,47,24,36,14,1,4,37.1,35,89.5,19,-1.15,-2.40,-1.83,-1.08,-1.26,-1.11,-1.54,-0.12,0.14
303,Landry Shamet,WAS,18,285,132,21,24,9,2,25,45.9,111,45.5,11,-1.15,-1.90,-1.87,-1.28,-1.79,-1.05,-0.77,-0.08,-0.47
304,Orlando Robinson,MIA,13,210,79,58,23,5,7,7,52.5,59,71.4,14,-1.15,-2.21,-1.35,-1.30,-2.21,-0.74,-1.43,0.23,-0.19
305,Zeke Nnaji,DEN,26,271,94,63,14,6,17,4,49.3,69,62.9,35,-1.15,-2.12,-1.29,-1.45,-2.11,-0.13,-1.54,0.12,-0.72
306,Jaden Hardy,DAL,26,362,178,49,40,10,0,30,35.8,176,66.7,33,-1.16,-1.62,-1.48,-1.01,-1.68,-1.17,-0.59,-1.19,-0.54
307,Tristan Thompson,CLE,26,293,89,90,23,6,8,0,70.2,57,36.0,25,-1.16,-2.15,-0.91,-1.30,-2.11,-0.68,-1.69,0.79,-1.27
308,Mo Bamba,PHI,17,133,71,48,7,4,11,8,58.7,46,69.2,13,-1.17,-2.26,-1.49,-1.56,-2.32,-0.50,-1.40,0.36,-0.21
309,Andre Jackson,MIL,25,255,64,43,23,7,0,11,53.2,47,75.0,4,-1.18,-2.30,-1.56,-1.30,-2.00,-1.17,-1.29,0.22,-0.08
310,Max Christie,LAL,22,362,95,54,22,8,4,13,38.7,93,71.4,14,-1.19,-2.12,-1.41,-1.31,-1.90,-0.93,-1.21,-0.42,-0.19
311,Jae Crowder,MIL,9,240,73,35,15,7,3,16,53.2,47,58.3,12,-1.20,-2.25,-1.68,-1.43,-2.00,-0.99,-1.10,0.22,-0.34
312,Trey Lyles,SAC,16,314,97,84,24,1,7,18,41.3,80,59.1,22,-1.20,-2.11,-0.99,-1.28,-2.64,-0.74,-1.03,-0.23,-0.56
313,Bones Hyland,LAC,15,227,114,15,27,8,0,20,40.8,103,83.3,12,-1.20,-2.00,-1.96,-1.23,-1.90,-1.17,-0.95,-0.36,-0.01
314,Ja Morant,MEM,4,145,115,22,34,4,4,3,50.6,89,81.5,27,-1.20,-2.00,-1.86,-1.11,-2.32,-0.93,-1.58,0.19,-0.01
315,Yuta Watanabe,PHX,21,341,90,41,10,7,7,23,34.1,85,69.2,13,-1.21,-2.15,-1.59,-1.51,-2.00,-0.74,-0.84,-0.59,-0.21
316,Stanley Umude,DET,15,155,75,28,8,4,5,14,45.5,44,91.3,23,-1.21,-2.24,-1.77,-1.55,-2.32,-0.87,-1.18,0.03,0.23
317,Sam Merrill,CLE,16,177,94,20,15,4,1,29,42.5,73,75.0,4,-1.22,-2.12,-1.89,-1.43,-2.32,-1.11,-0.62,-0.15,-0.08
318,Larry Nance,NOP,14,211,49,58,10,9,4,3,50.0,42,50.0,8,-1.22,-2.39,-1.35,-1.51,-1.79,-0.93,-1.58,0.14,-0.32
