,,,Stats,,,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FGA,FT%,FTA,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
38,Mikal Bridges,BKN,31,1054,655,163,117,28,13,61,46.0,506,83.1,154,0.21,1.21,0.11,0.26,0.22,-0.38,0.55,-0.74,0.45
39,Tobias Harris,PHI,30,1023,514,184,87,28,12,37,51.1,380,90.8,98,0.20,0.37,0.40,-0.23,0.22,-0.44,-0.33,0.53,1.09
40,Jaren Jackson,MEM,29,915,619,168,46,21,49,45,46.3,454,83.2,185,0.19,0.99,0.18,-0.92,-0.52,1.82,-0.04,-0.60,0.57
41,Franz Wagner,ORL,30,1015,619,175,120,33,10,40,46.2,494,83.7,147,0.17,0.99,0.28,0.31,0.75,-0.56,-0.22,-0.69,0.51
42,Coby White,CHI,32,1118,565,133,159,24,8,94,44.9,452,81.3,80,0.16,0.67,-0.31,0.96,-0.20,-0.68,1.77,-0.94,0.04
43,Michael Porter,DEN,32,1009,529,246,49,15,27,90,47.3,431,73.8,42,0.14,0.46,1.27,-0.87,-1.15,0.48,1.62,-0.31,-0.35
44,Bogdan Bogdanovic,ATL,28,802,502,94,75,37,8,97,45.4,399,89.6,48,0.14,0.30,-0.85,-0.43,1.18,-0.68,1.88,-0.71,0.44
45,Austin Reaves,LAL,31,910,467,144,155,29,3,53,47.7,342,88.0,100,0.14,0.09,-0.15,0.90,0.33,-0.99,0.26,-0.16,0.81
46,Brandon Ingram,NOP,28,946,648,135,151,21,11,37,49.9,489,82.0,150,0.12,1.17,-0.28,0.83,-0.52,-0.50,-0.33,0.34,0.25
47,Julius Randle,NYK,30,1064,688,283,145,18,6,44,46.4,532,77.3,194,0.11,1.40,1.79,0.73,-0.84,-0.80,-0.07,-0.67,-0.66
48,Daniel Gafford,WAS,27,700,300,209,46,24,59,0,69.3,179,71.2,73,0.11,-0.90,0.75,-0.92,-0.20,2.44,-1.69,2.13,-0.77
49,Tyus Jones,WAS,30,836,377,92,162,36,9,45,53.6,295,76.2,21,0.10,-0.44,-0.88,1.01,1.07,-0.62,-0.04,0.85,-0.15
50,Jaylen Brown,BOS,28,946,634,137,101,32,18,60,47.8,517,73.4,109,0.10,1.08,-0.25,0.00,0.65,-0.07,0.52,-0.26,-0.86
51,Pascal Siakam,TOR,30,1037,640,201,155,25,6,26,50.7,479,75.7,169,0.09,1.12,0.64,0.90,-0.10,-0.80,-0.73,0.56,-0.88
52,Jrue Holiday,BOS,27,929,354,180,131,25,23,52,46.6,292,85.7,35,0.06,-0.58,0.35,0.50,-0.10,0.23,0.22,-0.29,0.16
53,Mike Conley,MIN,29,852,338,83,179,30,3,70,46.9,243,95.2,42,0.05,-0.67,-1.01,1.29,0.43,-0.99,0.88,-0.18,0.64
54,Lauri Markkanen,UTA,21,699,504,184,31,21,14,68,50.0,348,85.4,103,0.05,0.31,0.40,-1.16,-0.52,-0.32,0.81,0.29,0.54
55,Rudy Gobert,MIN,29,934,368,348,36,21,64,0,60.6,231,62.0,142,0.04,-0.50,2.69,-1.08,-0.52,2.74,-1.69,1.60,-2.89
56,Clint Capela,ATL,29,755,348,304,32,18,48,0,59.3,246,71.8,78,0.04,-0.62,2.08,-1.15,-0.84,1.76,-1.69,1.53,-0.77
57,Devin Booker,PHX,21,756,567,112,172,15,9,38,47.3,408,88.3,162,0.04,0.68,-0.60,1.18,-1.15,-0.62,-0.29,-0.29,1.39
58,De'Anthony Melton,PHI,29,851,350,119,98,48,15,61,39.9,291,82.6,69,0.03,-0.60,-0.50,-0.05,2.34,-0.25,0.55,-1.38,0.13
59,D'Angelo Russell,LAL,30,881,452,90,184,25,15,60,46.8,370,76.7,60,0.00,0.00,-0.91,1.38,-0.10,-0.25,0.52,-0.36,-0.28
60,Max Strus,CLE,31,1074,436,159,124,27,16,89,40.1,384,79.6,49,-0.01,-0.09,0.06,0.38,0.12,-0.19,1.58,-1.81,-0.08
61,Kyle Kuzma,WAS,30,936,674,182,131,9,18,69,46.3,561,76.6,111,-0.01,1.32,0.38,0.50,-1.79,-0.07,0.85,-0.74,-0.49
62,Jusuf Nurkic,PHX,28,783,336,287,104,28,34,18,46.4,267,70.7,99,-0.01,-0.69,1.84,0.05,0.22,0.91,-1.03,-0.28,-1.08
63,Herbert Jones,NOP,28,830,296,110,76,41,28,29,45.9,222,86.3,73,-0.04,-0.92,-0.63,-0.42,1.60,0.54,-0.62,-0.27,0.44
64,Dennis Schroder,TOR,30,958,422,85,206,32,3,48,42.5,355,86.7,83,-0.04,-0.18,-0.98,1.74,0.65,-0.99,0.07,-1.18,0.55
65,Jabari Smith,HOU,29,883,396,248,45,17,24,47,49.2,299,82.1,67,-0.04,-0.33,1.30,-0.93,-0.94,0.30,0.04,0.13,0.09
66,Jarrett Allen,CLE,26,767,356,238,69,22,23,0,66.5,221,70.5,88,-0.07,-0.57,1.16,-0.53,-0.41,0.23,-1.69,2.27,-0.99
67,Kentavious Caldwell-Pope,DEN,30,979,305,65,79,45,16,45,45.5,235,90.2,51,-0.07,-0.87,-1.26,-0.37,2.02,-0.19,-0.04,-0.35,0.51
68,Jalen Williams,OKC,26,830,475,99,97,23,11,34,52.2,343,87.4,95,-0.07,0.14,-0.78,-0.07,-0.31,-0.50,-0.44,0.71,0.70
